Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Estimated Fair Price,Fair Price Rating
2008 Honda Civic EX Sedan 4D,"$5,400","New inspection, freshly detailed great gas mileage and runs well.","98,000 miles",https://www.facebook.com/marketplace/item/416984115729822/,14,N/A,N/A
2011 Honda Accord EX Sedan 4D,"$6,995","This is a super clean and affordable 2011 Honda Accord EX and it is priced to sell!!! This is a super clean Honda inside and out and it has an original 137,000 miles on it!!! Do not hesitate affordable and clean hondas are hard to find so call us today at 609-254-546nine Please Text","137,000 miles",https://www.facebook.com/marketplace/item/411620422747832/,10,N/A,N/A
2012 Honda Accord V6,"$5,600",N/A,"16,000 miles",https://www.facebook.com/marketplace/item/648671935588360/,8,N/A,N/A
2009 Honda Accord EX Sedan 4D,"$4,200",No accident,"99,058 miles",https://www.facebook.com/marketplace/item/320063652256832/,7,N/A,N/A
2008 Honda Civic LX Sedan 4D,"$5,300","The car is Manual transmition ,in perfect conditions ,Itis not a clean title ,2 door has been replaced ,...5,300 or best Ofert ..text or call to [hidden information]","67,000 miles",https://www.facebook.com/marketplace/item/775427322841223/,4,N/A,N/A
2008 Honda Civic LX Coupe 2D,"$2,800","2008 Honda Civic LX, 4cly Automatic, 170kmiles, Power Mirror, Power Locks, Power Windows, AC, CD, Tilt, Clean Car, Has minor paint Fade on top. Asking $2800","170,000 miles",https://www.facebook.com/marketplace/item/579144015937979/,6,N/A,N/A
2009 Honda Civic EX-L Sedan 4D,"$3,600",09 Honda Civic 1.7 auto 118k r title has accident history new inspection last month needs nothing.,"118,346 miles",https://www.facebook.com/marketplace/item/2291454887843598/,4,N/A,N/A
2014 Honda Accord LX Sedan 4D,"$7,800",N/A,"130,000 miles",https://www.facebook.com/marketplace/item/352089445438566/,20,N/A,N/A
2011 Honda Accord,"$5,695","2011 HONDA ACCORD EX-L 
200,000 MILES
CLEAN TITLE 
NAVIGATION,
LEATHER, 
SUNROOF,
ALLOY WHEELS,
LOOKS AND RUNS EXCELLENT!
EVEN WITH HIGH MILES THE FAIR PURCHASE PRICE ON KBB IS 5600 TO 8500
$5695.00 OBO","5,600 miles",https://www.facebook.com/marketplace/item/561237071023513/,7,N/A,N/A
2006 Acura TSX Sedan 4D,"$4,700","Selling a 2006 Acura TSX with 155000mi on it. The car is in excellent condition, runs and drives great without any mechanical issues, there are no warning lights on dash, very clean inside and out. Vehicle is loaded with 6 speed manual transmission, leather seats, heated front seats, Premium sound system, moon roof, alloy wheels and more.
Brand new clutch kit was installed, brand new 2 front tires, rear new brakes and rotors.
Vehicle was never involved in an accident clean title in hand ready for transfer VIN#JH4CL95836C035273","155,000 miles",https://www.facebook.com/marketplace/item/270000910559054/,20,N/A,N/A
2008 Honda Civic LX Sedan 4D,"$3,900",2008 civic Honda lx 4door 114k miles automatic runs great no mechanical issues$3900 price firm no low ballers,"114,000 miles",https://www.facebook.com/marketplace/item/2300536850159922/,5,N/A,N/A
2012 Nissan Altima 2.5 Sedan 4D,"$4,500",Sunroof Bluetooth inputs axe CD player MP3 player backup camera XM Radio FM radio push start button wireless key,"93,000 miles",https://www.facebook.com/marketplace/item/631393790650472/,6,N/A,N/A
2016 Nissan Altima LS,"$1,495","As Low As $1495 Down
2016 Nissan Altima - Mileage 36,135
*** Mention that you saw us on Facebook and receive $500 off the sale price! ***

Bad Credit, No Credit, NO PROBLEM!

*** U. R. APPROVED ***

LaBate Auto Sales 5800 E. Roosevelt Blvd. Philadelphia PA 19154 Phone: (215) 744-4497 😍
Website: https://www.labateautosales.com/inventory/used-2016-nissan-altima-labate-auto-sales-philadelphia-pa-19149-1n4al3ap6gn334240/

#usedcar #carforsale #usedcarprices","36,135 miles",https://www.facebook.com/marketplace/item/1083830471781314/,10,N/A,N/A
2006 Honda Accord EX-L Sedan 4D,$1,Parting out this 2006 honda accord v6 automatic. Let me know what you need.,"100,000 miles",https://www.facebook.com/marketplace/item/230769904495796/,4,N/A,N/A
2008 Acura TL 3.2 Sedan 4D,"$4,600","Runs and drive with no problems 
Engine and transmission is good 
Clean inside out 
No check engine light 
Real fast 
69k miles 
NO TRADES
R title","69,700 miles",https://www.facebook.com/marketplace/item/559512464554089/,9,N/A,N/A
2009 Honda Civic LX Sedan 4D,"$3,900",Honda Civic 2009 Good condition (Clean title,"145,000 miles",https://www.facebook.com/marketplace/item/413601622721415/,12,N/A,N/A
2006 Honda Civic EX Sedan 4D,"$3,700",2006 honda civic  EX   1 OWNER  trasmicion and ingene no problem  for more information texte,"131,000 miles",https://www.facebook.com/marketplace/item/316172062427202/,19,N/A,N/A
2009 Nissan Altima,"$3,500",Clean no problems at all!,N/A,https://www.facebook.com/marketplace/item/2330763987204864/,5,N/A,N/A
2005 Honda Civic EX Special Edition,"$2,790","For more information about this vehicle, please contact us.

Prestige Trade Group","158,679 miles",https://www.facebook.com/marketplace/item/2281560048782189/,20,N/A,N/A
2010 Honda Civic,"$5,000",5x114 just rims just rims not the car solo Los arros  no el carro,N/A,https://www.facebook.com/marketplace/item/2324435461168200/,2,N/A,N/A
2006 Nissan Altima,"$2,388","****************DEAL OF THE MONTH*****************AS-IS ONLY NO WARRANTY**************WE JUST ACQUIRED THIS MANUAL TRANSMISSION ALTIMA IN GOOD CONDITION THAT WE ARE SELLING HUNDREDS BELOW RETAIL VALUE.THE CAR SEPTEMBER 2019 PA STATE INSPECTION AND EMISSION STICKERS. THE CARFAX SHOWS ONLY 1 OWNER FOR THE PAST 12.8 YEARS THAT WAS PURCHASED AND SERVICED LOCALLY, A FANTASTIC 30 SERVICE HISTORY RECORDS,, SMALL DAMAGE TO THE LEFT SIDE FRONT BUMPER, AND ZERO, ZERO REPORTED ACCIDENTS ACCIDENTS.THE 215/60/16 MUD AND SNOW TIRES HAVE PLENTY OF TREAD. NICELY EQUIPPED WITH TILT STEERING WHEEL WITH CRUISE CONTROL FUNCTION, POWER WINDOWS, DOOR LOCKS, SIDE MIRRORS. WE ALSO HAVE CARPET FLOOR MATS, OWNERS MANUALS, TRUNK MAT, AND 2 REMOTES WITH 3 KEYS.PLEASE CONTACT ELLIOT AT [hidden information] IF YOU ARE INTERESTED AS THIS CAR WILL BE SOLD QUICKLY.

Dileo's Auto Sales","189,328 miles",https://www.facebook.com/marketplace/item/427530788020804/,20,3843,N/A
2011 Nissan Altima 2.5 S Sedan 4D,"$3,200","2011 Nissan Altima S 133k mills
Automatic transmission. Power windows power locks & mirriors, CD player, aux, keyless entry, til & cruise. Run good has good tires.","133,000 miles",https://www.facebook.com/marketplace/item/2247490395494583/,9,"$6,917",3717
2009 Honda Accord EX-L Sedan 4D,"$6,250","Just In:

2009 Honda Accord Ex-L
104,026 Miles
$6250.00

Clean title, 4 cylinder, leather, sunroof, alloy wheels, keyless entry, heated seats, runs great, no issues.

#Honda #Accord #Cars #Cash #Lansdowne #Avamotors","109,000 miles",https://www.facebook.com/marketplace/item/405231586921462/,15,"$6,964",714
2008 Honda Civic LX Sedan 4D,"$2,000",Selling our 2008 Honda Civic LX with 100k miles. Runs and drives perfectly! Needs body work.,"100,800 miles",https://www.facebook.com/marketplace/item/249161899209282/,8,"$4,325",2325
2004 Mazda MAZDA3 s Hatchback 4D,"$2,800","2004 Mazda 3 station wagon power window nice good running car running 43000 miles on it $2,800","14,336 miles",https://www.facebook.com/marketplace/item/1089383271252248/,7,N/A,N/A
2013 Chevrolet Malibu LT Sedan 4D,"$6,500","CONVENIENCE:

Adjustable Steering Wheel
Automatic Headlights
Back-Up Camera
Cruise Control
Intermittent Wipers
Power Outlet
Remote Engine Start
Remote Trunk Release
Security System
Steering Wheel Audio Controls
Universal Garage Door Opener

AUDIO:
AM/FM Stereo
Auxiliary Audio Input
CD Player
Hard Disk Drive Media Storage
MP3 Player
Smart Device Integration

SAFETY FEATURES
Brake Assist
Child Safety Locks
Daytime Running Lights
Integrated Turn Signal Mirrors
Stability Control
Traction Control

LOCKS:
Keyless Entry
Power Door Locks","7,600 miles",https://www.facebook.com/marketplace/item/405409790270900/,11,"$10,059",3559
2013 Nissan Altima 2.5 SV Sedan 4D,"$6,800","CONVENIENCE:

Adjustable Steering Wheel
Automatic Headlights
Back-Up Camera
Cruise Control
Engine Immobilizer
Front Reading Lamps
Intermittent Wipers
Keyless Start
Leather Steering Wheel
Power Outlet
Rear Reading Lamps
Remote Engine Start
Remote Trunk Release
Security System
Steering Wheel Audio Controls
Trip Computer
Variable Speed Intermittent Wipers

LOCKS:

Keyless Entry
Power Door Locks
MIRRORS:

Driver Vanity Mirror
Passenger Vanity Mirror
Power Mirror(s)

SAFETY FEATURES:

Brake Assist
Child Safety Locks
Emergency Trunk Release
Stability Control
Traction Control","60,000 miles",https://www.facebook.com/marketplace/item/648029768959600/,12,"$9,096",2296
2010 Honda Civic LX Coupe 2D,"$5,500","2010 Honda Civic Lx Coupe 
84k miles
gray cloth interior 
power windows locks mirrors 
automatic 
am/fm/cd/aux
4 cylinder 
ac/heat 
new tires 
runs excellent 
just serviced & inspected 3/2020
R title 

$5500 cash","84,000 miles",https://www.facebook.com/marketplace/item/301538457188738/,10,"$4,027",-1473
2009 Acura TSX Sedan 4D,"$5,500","$5500 , one side of the car need some work done to it","114,000 miles",https://www.facebook.com/marketplace/item/383107222270680/,6,"$7,954",2454
2004 Acura TL 3.2 Sedan 4D,"$3,400",Milla 174k,"174,000 miles",https://www.facebook.com/marketplace/item/445960702613192/,12,"$4,664",1264
2008 Nissan Altima,"$3,600",2008 Altima in good condition run&drive smoothly no problem came with sunroof Bluetooth leather seats FULLOADED with 129xxx,"129,000 miles",https://www.facebook.com/marketplace/item/1990843967888217/,6,5156,N/A
2008 Acura TL Type-S Sedan 4D,"$7,300",R title,"78,000 km",https://www.facebook.com/marketplace/item/2571189369574988/,9,"$7,579",279
2014 Chevrolet Cruze LT Sedan 4D,"$5,500",N/A,"62,000 miles",https://www.facebook.com/marketplace/item/333991447461297/,10,"$9,222",3722
2008 Honda Civic LX Sedan 4D,"$3,000",I want 3000 or obo car has a new motor in it has new brakes new tires and allot more parts,"140,000 miles",https://www.facebook.com/marketplace/item/409882072908573/,9,"$4,325",1325
2013 Honda Accord EX-L Sedan 4D,"$9,000","Like new only 25,000 miles","25,000 miles",https://www.facebook.com/marketplace/item/2073646766004088/,10,"$10,896",1896
2014 Honda Civic EX Sedan 4D,"$7,675","About This Honda Civic 2014 EX In Exelent Runs And Drive Like A Baby!

All original equipment by Honda

Mileage: 67,000
Exterior Color: Blue
Interior Color: Gray Cloth Clean
Transmission: Automatic
Doors: 4
Wheel: 16* OEM
CD Changer2
Bluetooth
Blind Spot Camara
Rear View Camara
1.8L Engine
SunRoof
Push Botton Start 
Eco Fuel System
Hinted Windows & Rear Brake Lights
4wheel ABS Brakes
Automatic front air conditioning
Power Windows & Door Lock with Alarm

Title: Reconstructed Title Ready For Registration
No trades sorry


Just Serviced:
Engine Oil & Filter

For photos please feel free to contact me or if u want to see the car personal Spanish And English! You are always welcome...Asking $7,695.00","67,000 miles",https://www.facebook.com/marketplace/item/418342415660843/,13,"$9,078",1403
2006 Toyota Corolla S Sedan 4D,"$3,990","🔸Downpayment options available starting at $2,500🔸
Our options include :
Low monthly payments of $150-$250 a month options !! ( depending on terms ) 
In house financing for no credit options !! 
Bank options !!
Buy here pay here options !!
No credit options !!
Cash discounts options !!
☝🏻 ☝🏻 ☝🏻 ☝🏻 

Mint Toyota Corolla S package
183k
1 owner !!!
Local trade 
Fully maintained 
S package
Alloy wheels
Great commuter car
Must see !!!
Please read below for all information and website info : 

Most vehicles are on website in addition we have 20 vehicles that are in process : please don’t hesitate to ask. 

Address :
5801 Milford Road East Stroudsburg Pa 18301
[hidden information]

To apply for a no credit verification or BHBH Loan with us must be done @ Autovalleygroup.com under “finance tab”

Just ask we have many options to get you in a car !!

Visit us Autovalleygroup.com for more pictures / info / address and Loan application.

See you soon !!","183,000 miles",https://www.facebook.com/marketplace/item/399120374221440/,14,"$4,834",844
2012 Honda Civic,"$5,500",No,"98,000 miles",https://www.facebook.com/marketplace/item/786355655097487/,7,6674.5,N/A
